stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,ReRating.started,stim_image2.started,slider_final.started,key_resp_2.started,stim_image2.stopped,rating_prompt2.started,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.007172000012360513,0.01144233311060816,0.01144233311060816,18.725014625000767,space,18.51958816696424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_10.jpeg,agree,80.0,0,0,0,1.0,14.693643833976239,space,13.795587499975227,None,78.0,3.315814584027976,None,,,0,0,0,9,18.766510708024725,,,,,,,,,18.750856875092722,18.766510708024725,19.71661000000313,20.718151750043035,21.219083833042532,21.70746012509335,34.517006708076224,1.0,14.693643833976239,space,13.795587499975227,None,34.52156725001987,34.528350333101116,37.548243791097775,37.51550275005866,37.53864862502087,37.548243791097775,37.548243791097775,39.514243000070564,39.53704220801592,40.015125916106626,40.864147957996465,78.0,3.315814584027976,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_09.jpeg,disagree,50.0,1,1,0,82.0,4.225558165926486,space,4.41149641701486,None,5.0,3.5670357920462266,None,,,0,1,1,8,40.88039158307947,,,,,,,,,40.873829500051215,40.88039158307947,41.85411275003571,42.85392500006128,43.364523541065864,43.845418208045885,47.27266033308115,82.0,4.225558165926486,space,4.41149641701486,None,47.27648445800878,47.28234525001608,50.29174708307255,50.265914165996946,50.281305625103414,50.29174708307255,50.29174708307255,52.26223741599824,52.28966979100369,52.762088750023395,53.854005375062115,5.0,3.5670357920462266,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_04.jpeg,agree,70.0,2,2,0,None,None,space,1.685323791927658,None,67.0,3.620084666996263,None,,,0,2,2,3,53.905463083065115,,,,,,,,,53.898822457995266,53.905463083065115,54.84537774999626,55.84778787510004,56.34523625008296,56.83675200003199,57.53999016608577,None,None,space,1.685323791927658,None,57.54386245808564,57.549658916075714,,60.54371858306695,60.60391404107213,60.61126387503464,60.61126387503464,62.52870937506668,62.60293650010135,63.039430500008166,64.22939025005326,67.0,3.620084666996263,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_06.jpeg,neutral,50.0,3,3,0,None,None,space,1.4832873330451548,None,48.0,5.1669640420004725,None,,,0,3,3,5,64.25530550000258,,,,,,,,,64.2490964580793,64.25530550000258,65.22368825005833,66.22264341602568,66.72173941601068,67.22015420801472,67.71550112508703,None,None,space,1.4832873330451548,None,67.7183169160271,67.72409900010098,70.75545241602231,70.70762675011065,70.74629983305931,70.75545241602231,70.75545241602231,72.71159137506038,72.74516250006855,73.21390437509399,75.92295808310155,48.0,5.1669640420004725,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_05.jpeg,disagree,10.0,4,4,0,48.0,2.4676666249288246,space,1.4692209580680355,None,2.0,2.1070083749946207,None,,,0,4,4,4,75.93803912505973,,,,,,,,,75.93146850005724,75.93803912505973,76.92085816606414,77.92038908309769,78.42058229108807,78.91417000000365,79.39117654110305,48.0,2.4676666249288246,space,1.4692209580680355,None,79.3936635410646,79.39910112507641,,82.39227458310779,82.40744091605302,82.41829845809843,82.41829845809843,84.3886641249992,84.4121425410267,,84.52093350002542,2.0,2.1070083749946207,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_07.jpeg,neutral,65.0,5,5,0,None,None,space,1.7963465419597924,None,53.0,3.377144208061509,None,,,0,5,5,6,84.54941966605838,,,,,,,,,84.54291025002021,84.54941966605838,85.51570487499703,86.51407120807562,87.01253187505063,87.51348366599996,88.31598829105496,None,None,space,1.7963465419597924,None,88.3199122500373,88.32628775003832,91.35266437509563,91.31250420806464,91.34342316607945,91.35266437509563,91.35266437509563,93.30997945810668,93.34995004103985,93.80807700008154,94.7266474160133,53.0,3.377144208061509,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_08.jpeg,agree,70.0,6,6,0,None,None,space,2.296131334034726,None,69.0,0.28636391600593925,None,,,0,6,6,7,94.75282383302692,,,,,,,,,94.74618316604756,94.75282383302692,95.72435079107527,96.7240611660527,97.21673645800911,97.715808958048,99.02565466600936,None,None,space,2.296131334034726,None,99.02824150002562,99.03325520805083,102.06068612507079,102.01624841603916,102.05097612505779,102.06068612507079,102.06068612507079,,,,102.34694154106546,69.0,0.28636391600593925,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_02.jpeg,disagree,20.0,7,7,0,None,None,space,0.3450102920178324,None,8.0,1.78823645808734,None,,,0,7,7,1,102.3706168330973,,,,,,,,,102.36424516607076,102.3706168330973,103.3376780000981,104.33688033302315,,,104.6836530000437,None,None,space,0.3450102920178324,None,104.68726858310401,104.69348700006958,,107.68426066602115,107.70567762502469,107.71544854110107,107.71544854110107,,,,109.50036225002259,8.0,1.78823645808734,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_03.jpeg,agree,80.0,8,8,0,None,None,space,1.7513586659915745,None,94.0,1.8377731250366196,None,,,0,8,8,2,109.52200833300594,,,,,,,,,109.51543762499932,109.52200833300594,110.49942062504124,111.491419875063,111.99950387503486,112.49057470809203,113.25121725001372,None,None,space,1.7513586659915745,None,113.2539447080344,113.25772150000557,116.27270262502134,116.2444889160106,116.26275883300696,116.27270262502134,116.27270262502134,,,,118.11059212510008,94.0,1.8377731250366196,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
