poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.006788833998143673,0.0068424169439822435,,,,,,,,,,,,,,,,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
-50,x,0,0,0,x,1,2.5732891669031233,None,0,0,0,0,,,,,0.015516084036789834,,,,0.011659084004350007,0.015516084036789834,1.0136664590099826,1.0136664590099826,1.0136664590099826,1.0136664590099826,1.018210083944723,1.9987853339407593,1.9987853339407593,2.9948687920114025,4.749535541981459,x,1,2.5732891669031233,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
150,v,1,1,0,v,1,1.3631269170437008,None,0,1,1,1,,,,,4.755875500035472,,,,4.749719833955169,4.755875500035472,5.74561933404766,5.74561933404766,5.74561933404766,5.74561933404766,5.751111499965191,6.741336792008951,6.741336792008951,7.736710709054023,8.115273250034079,v,1,1.3631269170437008,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
50,c ,2,2,0,space,0,2.738139083958231,None,0,2,2,2,,,,,8.126348083955236,,,,8.11622724996414,8.126348083955236,9.111813750001602,9.111813750001602,9.111813750001602,9.111813750001602,9.115367667051032,10.107194541953504,10.107194541953504,11.100946999969892,12.855786375002936,space,0,2.738139083958231,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
-150,z,3,3,0,z,1,0.9214784170035273,None,0,3,3,3,,,,,12.863390624988824,,,,12.856204292038456,12.863390624988824,13.856152125052176,13.856152125052176,13.856152125052176,13.856152125052176,13.872814542031847,14.856240708963014,14.856240708963014,,15.77925945899915,z,1,0.9214784170035273,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
-50,x,4,0,1,x,1,1.4126592089887708,None,1,0,4,0,,,,,15.783306334051304,,,,15.779603292001411,15.783306334051304,16.77092595899012,16.77092595899012,16.77092595899012,16.77092595899012,16.77641037502326,17.779491791967303,17.779491791967303,18.76746108394582,19.196821124991402,x,1,1.4126592089887708,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
150,v,5,1,1,v,1,0.59545916703064,None,1,1,5,1,,,,,19.207105500041507,,,,19.197525916970335,19.207105500041507,20.18792083405424,20.18792083405424,20.18792083405424,20.18792083405424,20.19893149996642,21.195724167046137,21.195724167046137,,21.804943958995864,v,1,0.59545916703064,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
50,c ,6,2,1,v,0,0.9295569169335067,None,1,2,6,2,,,,,21.814733166946098,,,,21.80552783398889,21.814733166946098,22.802270874963142,22.802270874963142,22.802270874963142,22.802270874963142,22.807512125000358,23.79658574995119,23.79658574995119,,24.730540959048085,v,0,0.9295569169335067,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
-150,z,7,3,1,z,1,0.7864633759018034,None,1,3,7,3,,,,,24.737395792035386,,,,24.730918291956186,24.737395792035386,25.730284334043972,25.730284334043972,25.730284334043972,25.730284334043972,25.73612374998629,26.730590792023577,26.730590792023577,,27.52101575001143,z,1,0.7864633759018034,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
-50,x,8,0,2,z,0,0.7788999170297757,None,2,0,8,0,,,,,27.528804166940972,,,,27.521838666987605,27.528804166940972,28.520525999949314,28.520525999949314,28.520525999949314,28.520525999949314,28.526183375041,29.51201779197436,29.51201779197436,,30.30414408398792,z,0,0.7788999170297757,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
150,v,9,1,2,x,0,27.26466116704978,None,2,1,9,1,,,,,30.31161645904649,,,,30.304537749965675,30.31161645904649,31.314508375013247,31.314508375013247,31.314508375013247,31.314508375013247,31.314508375013247,32.31439845904242,32.31439845904242,33.310380709008314,59.584268625010736,x,0,27.26466116704978,None,,,,,,,002,001,2025-10-02_16h45.40.812,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h46.18.596768 +0530,
