stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,feedback_text.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.006736957933753729,0.011032042093575,0.011032042093575,12.830871625104919,space,12.634361125994474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_08.jpeg,agree,70.0,0,0,0,77.0,16.54002754180692,space,15.606841625180095,None,87.0,5.669876874890178,None,,,0,0,0,7,12.867531375028193,,,,,,,,,12.854083874961361,12.867531375028193,13.82051341701299,14.826722417026758,15.320770082995296,15.818549167132005,30.43984558293596,77.0,16.54002754180692,space,15.606841625180095,None,30.44441774999723,30.450941583141685,33.44114933302626,33.47927708295174,33.49115033308044,34.43502033292316,35.43111350014806,36.93116670800373,37.430692583089694,39.15571945812553,87.0,5.669876874890178,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_03.jpeg,agree,80.0,1,1,0,87.0,0.09950254205614328,space,5.200356541899964,None,96.0,2.650527250021696,None,,,0,1,1,2,39.18029504199512,,,,,,,,,39.17378962505609,39.18029504199512,40.149538500001654,41.14723666710779,41.65050870808773,42.14926087507047,46.350992457941175,87.0,0.09950254205614328,space,5.200356541899964,None,46.35458791698329,46.36045587505214,49.34602695796639,49.36615533311851,49.37523362506181,50.3488308750093,51.347374957986176,,,52.023209708044305,96.0,2.650527250021696,None,49.37523362506181,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_02.jpeg,disagree,20.0,2,2,0,None,None,space,4.476787083083764,None,60.0,6.1568869589827955,None,,,0,2,2,1,52.045615792041644,,,,,,,,,52.03903254214674,52.045615792041644,53.014663374982774,54.01452083303593,54.51381954201497,55.00588329206221,58.50087250000797,None,None,space,4.476787083083764,None,58.504701875150204,58.510583917144686,61.502783958101645,61.520341833122075,61.52921920805238,62.489209207938984,63.49922958295792,64.98952437494881,65.48270924994722,67.68395579210483,60.0,6.1568869589827955,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_06.jpeg,neutral,50.0,3,3,0,60.0,0.12784820795059204,space,3.485741542186588,None,46.0,5.673395209014416,None,,,0,3,3,5,67.71379933296703,,,,,,,,,67.70702962507494,67.71379933296703,68.67250333307311,69.68082262505777,70.18114545801654,70.66370216710493,73.1744421669282,60.0,0.12784820795059204,space,3.485741542186588,None,73.17804266698658,73.18340158299543,76.17825979203917,76.21187512506731,76.22042187512852,77.16991308308206,78.17160179209895,79.66835575015284,80.15994904213585,81.89465183299035,46.0,5.673395209014416,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_01.jpeg,neutral,50.0,4,4,0,46.0,0.08727808413095772,space,1.40985191706568,None,51.0,4.903159375069663,None,,,0,4,4,0,81.94550316710956,,,,,,,,,81.93892679200508,81.94550316710956,82.89173158304766,83.8891463750042,84.39207870792598,84.8909415830858,85.30979108298197,46.0,0.08727808413095772,space,1.40985191706568,None,85.30987033294514,85.31449991697446,88.29879899998195,88.35371470800601,88.36141137499362,89.30816074996255,90.30560975009575,91.8051605829969,92.29778024996631,93.26674500014633,51.0,4.903159375069663,None,88.36141137499362,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_05.jpeg,disagree,10.0,5,5,0,51.0,2.0870213750749826,space,1.7084110828582197,None,27.0,17.408640458015725,None,,,0,5,5,4,93.2834019169677,,,,,,,,,93.27684229193255,93.2834019169677,94.2577311671339,95.26433795806952,95.76395025011152,96.25689895800315,96.97624208312482,51.0,2.0870213750749826,space,1.7084110828582197,None,96.9788865421433,96.98429966694675,99.97782062506303,99.9936063750647,100.00336412503384,100.9748952081427,101.97434808313847,103.46449362509884,103.96421283297241,117.40848900005221,27.0,17.408640458015725,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_04.jpeg,agree,70.0,6,6,0,None,None,space,1.5909950830973685,None,None,None,space,3.499717792030424,None,0,6,6,3,117.4546251250431,,,,,,,,,117.44877291703597,117.4546251250431,118.40170912514441,119.40313466708176,119.9015407920815,120.39301674999297,121.0050412081182,None,None,space,1.5909950830973685,None,121.007846374996,121.0132957501337,123.99613024992868,124.04639216698706,124.05419058306143,125.00196520797908,126.00443745800294,127.5031763331499,127.99487904203124,129.51360625005327,None,None,space,124.05419058306143,3.499717792030424,None,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_10.jpeg,agree,80.0,7,7,0,78.0,0.6508055001031607,space,1.0930879591032863,None,90.0,5.084192542126402,None,,,0,7,7,9,129.5439898329787,,,,,,,,,129.5349715000484,129.5439898329787,130.51277337502688,131.50994025007822,132.01261754194275,132.51165187498555,132.61438258294947,78.0,0.6508055001031607,space,1.0930879591032863,None,132.61697887512855,132.62247979198582,135.61502141715027,135.6492036669515,135.65768979210407,136.6055656671524,137.6079875419382,139.1091437500436,139.59710879204795,140.7394720830489,90.0,5.084192542126402,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_09.jpeg,disagree,50.0,8,8,0,None,None,space,2.838475791970268,None,62.0,3.254644207889214,None,,,0,8,8,8,140.75424979208037,,,,,,,,,140.74762137513608,140.75424979208037,141.73262337502092,142.7303144170437,143.23271287512034,143.72264504199848,145.57343650003895,None,None,space,2.838475791970268,None,145.57608862500638,145.58140783314593,148.5640354999341,148.57888204208575,148.5883368330542,149.572956582997,150.56434879195876,,,151.83954020799138,62.0,3.254644207889214,None,148.5883368330542,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
