stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0066701669711619616,0.014358458807691932,0.014358458807691932,18.95506508392282,space,18.72994999983348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_01.jpeg,neutral,50.0,0,0,0,60.0,7.867056207964197,space,6.3378165839239955,None,72.0,4.231306999921799,None,0,0,0,0,19.02219666703604,,,,,,,,,18.998232666868716,19.02219666703604,19.947342624887824,20.948261624900624,21.446951291989535,21.94198820902966,27.290753124980256,60.0,7.867056207964197,space,6.3378165839239955,None,27.295254291966558,27.30141816684045,30.362093708943576,30.28711249982007,30.351252041989937,30.362093708943576,31.28069341694936,32.289058584021404,33.78805916686542,34.274339333875105,34.588295166846365,72.0,4.231306999921799,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_07.jpeg,neutral,65.0,1,1,0,72.0,3.1441563330590725,space,1.5389562919735909,None,85.0,3.195207708980888,None,0,1,1,6,34.61852216697298,,,,,,,,,34.61184991686605,34.61852216697298,35.581642916891724,36.57994708395563,37.08035025000572,37.58028312493116,38.124333875020966,72.0,3.1441563330590725,space,1.5389562919735909,None,38.12838766700588,38.13442274997942,,41.12651929189451,41.162262541940436,41.170582624850795,42.1232195419725,43.121936291921884,,,44.363760749809444,85.0,3.195207708980888,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_09.jpeg,disagree,50.0,2,2,0,89.0,3.6772797079756856,space,2.0762985839974135,None,51.0,2.939810208044946,None,0,2,2,8,44.37877970887348,,,,,,,,,44.372293416876346,44.37877970887348,45.35902270884253,46.355317999841645,46.8586383338552,47.35516137490049,48.43462337483652,89.0,3.6772797079756856,space,2.0762985839974135,None,48.437373416963965,48.44335858384147,51.4525327088777,51.42713745892979,51.44322533393279,51.4525327088777,52.43147512502037,53.430451958905905,,,54.38844666699879,51.0,2.939810208044946,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_03.jpeg,agree,80.0,3,3,0,38.0,3.2804897078312933,space,1.6745139171835035,None,50.0,3.082235584035516,None,0,3,3,2,54.409723416902125,,,,,,,,,54.40319662494585,54.409723416902125,55.380122625036165,56.382747374940664,56.8817887918558,57.37139420886524,58.064233999932185,38.0,3.2804897078312933,space,1.6745139171835035,None,58.06805641693063,58.07373029203154,61.08609495894052,61.060326791834086,61.07691662502475,61.08609495894052,62.058878917014226,63.05485541699454,,,64.16544316685759,50.0,3.082235584035516,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_04.jpeg,agree,70.0,4,4,0,36.0,3.9156393751036376,space,2.6951822508126497,None,73.0,3.050273082917556,None,0,4,4,3,64.21281604189426,,,,,,,,,64.20601329184137,64.21281604189426,65.15456208400428,66.16293895896524,66.65532741695642,67.14658737485297,68.86374070891179,36.0,3.9156393751036376,space,2.6951822508126497,None,68.86733941687271,68.87267125002109,71.91542712482624,71.85659729200415,71.90826366702095,71.91542712482624,72.85820299992338,73.85546645894647,,,74.96428795880638,73.0,3.050273082917556,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_02.jpeg,disagree,20.0,5,5,0,59.0,3.5097426250576973,space,2.3663670828100294,None,25.0,2.834953249897808,None,0,5,5,1,74.98782449983992,,,,,,,,,74.98149908380583,74.98782449983992,75.95524904201739,76.95315279182978,77.45870595891029,77.94961520889774,79.32618737500161,59.0,3.5097426250576973,space,2.3663670828100294,None,79.33005041698925,79.33629487501457,,82.32860708399676,82.34620208386332,82.35537620889954,83.32443683384918,84.32110562501475,,,85.19058958394453,25.0,2.834953249897808,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_06.jpeg,neutral,50.0,6,6,0,50.0,2.532847415888682,space,1.6193567079026252,None,50.0,1.8825194579549134,None,0,6,6,5,85.21409754198976,,,,,,,,,85.20807458390482,85.21409754198976,86.1807298338972,87.18992091692053,87.6888434169814,88.1717066669371,88.81383395893499,50.0,2.532847415888682,space,1.6193567079026252,None,88.81639329181053,88.82174324989319,91.85384608386084,91.81223070900887,91.84227458387613,91.85384608386084,92.80527941696346,,,,93.73031741683371,50.0,1.8825194579549134,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_10.jpeg,agree,80.0,7,7,0,31.0,2.655433790991083,space,1.1118146260268986,None,50.0,2.449882416985929,None,0,7,7,9,93.7570252919104,,,,,,,,,93.75038537499495,93.7570252919104,94.72107933391817,95.7216166248545,96.22239833394997,96.71309287496842,96.83899558382109,31.0,2.655433790991083,space,1.1118146260268986,None,96.84149383381009,96.84689362486824,99.87551041692495,99.8348424998112,99.86737816687673,99.87551041692495,100.83688170881942,101.83353499998339,,,102.3266804588493,50.0,2.449882416985929,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_05.jpeg,disagree,10.0,8,8,0,62.0,3.7528718339744955,space,2.0812482088804245,None,29.0,3.45003345888108,None,0,8,8,4,102.3412609170191,,,,,,,,,102.33491729199886,102.3412609170191,103.32597424997948,104.3202640840318,104.82001916691661,105.31855370895937,106.40506699983962,62.0,3.7528718339744955,space,2.0812482088804245,None,106.40763991698623,106.41381754190661,109.42183091701008,109.39661820884794,109.41167354187928,109.42183091701008,110.39461979200132,111.40359104191884,,,112.8680794169195,29.0,3.45003345888108,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_08.jpeg,agree,70.0,9,9,0,29.0,1.8300208339933306,space,0.7390122921206057,None,63.0,3.402270416961983,None,0,9,9,7,112.89428787492216,,,,,,,,,112.8874193339143,112.89428787492216,113.85904708388261,114.86181262484752,115.36195012484677,,115.61056308401749,29.0,1.8300208339933306,space,0.7390122921206057,None,115.61306791682728,115.61688695894554,118.63791066687554,118.60109629202634,118.62980458396487,118.63791066687554,119.60556866694242,120.60472995880991,,,122.03867449983954,63.0,3.402270416961983,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_02.jpeg,disagree,20.0,10,0,1,25.0,2.5237506658304483,space,1.530800459207967,None,27.0,2.4909119170624763,None,1,0,10,1,122.0567081249319,,,,,,,,,122.05049195885658,122.0567081249319,123.03219941700809,124.0322962088976,124.52977520902641,125.0215668338351,125.56430899980478,25.0,2.5237506658304483,space,1.530800459207967,None,125.5668350418564,125.57184874988161,128.58417558390647,128.55502958386205,128.57445562491193,128.58417558390647,129.5636807498522,130.55516504193656,,,131.071936708875,27.0,2.4909119170624763,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
