poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,9,1,2,v,1,0.48414516693446785,None,2,1,9,1,,,,,27.187825832981616,,,,27.181098707951605,27.187825832981616,28.169510791893117,28.169510791893117,28.169510791893117,28.169510791893117,28.18792879197281,29.180069666937925,29.180069666937925,,29.67124862491619,v,1,0.48414516693446785,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,10,2,2,c,0,0.5716714590089396,None,2,2,10,2,,,,,29.678418166935444,,,,29.67173099995125,29.678418166935444,30.66234729194548,30.66234729194548,30.66234729194548,30.66234729194548,30.66785608290229,31.660376541898586,31.660376541898586,,32.24073195795063,c,0,0.5716714590089396,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,11,3,2,z,1,0.9476160421036184,None,2,3,11,3,,,,,32.25185604195576,,,,32.24163608299568,32.25185604195576,33.238512666895986,33.238512666895986,33.238512666895986,33.238512666895986,33.24352762498893,34.24035754194483,34.24035754194483,,35.1916729999939,z,1,0.9476160421036184,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,12,0,3,x,1,0.6076720419805497,None,3,0,12,0,,,,,35.20007291692309,,,,35.19244604196865,35.20007291692309,36.190400457940996,36.190400457940996,36.190400457940996,36.190400457940996,36.19575937499758,37.184333541896194,37.184333541896194,,37.8054239168996,x,1,0.6076720419805497,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,13,1,3,v,1,0.5660408749245107,None,3,1,13,1,,,,,37.812415041960776,,,,37.80595149996225,37.812415041960776,38.794982124934904,38.794982124934904,38.794982124934904,38.794982124934904,38.800907625001855,39.804844124941155,39.804844124941155,,40.372683249996044,v,1,0.5660408749245107,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,14,2,3,c,0,0.5741835840744898,None,3,2,14,2,,,,,40.38049654196948,,,,40.37354904192034,40.38049654196948,41.36340566689614,41.36340566689614,41.36340566689614,41.36340566689614,41.367004124913365,42.36870649992488,42.36870649992488,,42.95633549999911,c,0,0.5741835840744898,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,15,3,3,z,1,0.3899042510893196,None,3,3,15,3,,,,,42.96374433289748,,,,42.956808291957714,42.96374433289748,43.956358124967664,43.956358124967664,43.956358124967664,43.956358124967664,43.962057291995734,44.949941999977455,44.949941999977455,,45.34543024993036,z,1,0.3899042510893196,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,16,0,4,x,1,0.4809488339815289,None,4,0,16,0,,,,,45.35180770792067,,,,45.34591662499588,45.35180770792067,46.335909291985445,46.335909291985445,46.335909291985445,46.335909291985445,46.347573416889645,47.335799541906454,47.335799541906454,,47.82046954194084,x,1,0.4809488339815289,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,17,1,4,v,1,0.47037408396136016,None,4,1,17,1,,,,,47.82827899989206,,,,47.821196542005055,47.82827899989206,48.80924620793667,48.80924620793667,48.80924620793667,48.80924620793667,48.82813358295243,49.80937545793131,49.80937545793131,,50.29000624991022,v,1,0.47037408396136016,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,18,2,4,c,0,0.5762675839941949,None,4,2,18,2,,,,,50.29864299995825,,,,50.290547791984864,50.29864299995825,51.28074954194017,51.28074954194017,51.28074954194017,51.28074954194017,51.29886329197325,52.288372791954316,52.288372791954316,,52.86751708295196,c,0,0.5762675839941949,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,19,3,4,z,1,0.661302666994743,None,4,3,19,3,,,,,52.87571054196451,,,,52.86824904195964,52.87571054196451,53.86278558289632,53.86278558289632,53.86278558289632,53.86278558289632,53.86732699989807,54.86337004194502,54.86337004194502,,55.525840874994174,z,1,0.661302666994743,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
