stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,feedback_text.stopped,Debrief.started,debrief_text.started,key_debrief.started,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.006677874829620123,0.012162250000983477,0.012162250000983477,18.936702790902928,space,18.750416749855503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_08.jpeg,agree,70.0,0,0,0,15.0,9.32118754205294,space,9.659028583206236,None,73.0,8.727552416967228,None,0,0,0,7,18.978848999831825,,,,,,,,,18.964725874830037,18.978848999831825,19.93112679081969,20.930769707774743,21.433856832794845,21.92240116582252,30.591773207997903,15.0,9.32118754205294,space,9.659028583206236,None,30.596523582935333,30.602995707886294,33.59426120785065,33.62975079077296,33.643612374784425,34.583403082797304,35.58133299998008,37.081597624812275,37.58073812490329,42.36762408283539,73.0,8.727552416967228,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_07.jpeg,neutral,65.0,1,1,0,21.0,4.131419874960557,space,3.5287088751792908,None,36.0,4.029944709036499,None,0,1,1,6,42.40038333297707,,,,,,,,,42.39356887480244,42.40038333297707,43.35835712496191,44.356089499779046,44.86640670779161,45.34778399998322,47.89048337494023,21.0,4.131419874960557,space,3.5287088751792908,None,47.895213207928464,47.90135720791295,50.88789020781405,50.9247094579041,50.933657749788836,51.88532279082574,52.88815883290954,54.38553054095246,54.87924812478013,54.960652832873166,36.0,4.029944709036499,None,50.933657749788836,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_09.jpeg,disagree,50.0,2,2,0,49.0,3.608988415915519,space,2.592794042080641,None,27.0,3.672753249993548,None,0,2,2,8,54.97672029095702,,,,,,,,,54.970205707941204,54.97672029095702,55.95170341595076,56.95342737482861,57.45234445785172,57.9467263747938,59.54795041587204,49.0,3.608988415915519,space,2.592794042080641,None,59.55107129085809,59.55763883283362,62.541966082993895,62.55655958293937,62.56646633287892,63.54577774996869,64.543916082941,66.04565504100174,,66.23523283284158,27.0,3.672753249993548,None,62.56646633287892,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_01.jpeg,neutral,50.0,3,3,0,33.0,2.6672153340186924,space,1.0262210839428008,None,15.0,8.833649541949853,None,0,3,3,0,66.28610399994068,,,,,,,,,66.27934091584757,66.28610399994068,67.22688599978574,68.22974429093301,68.72802912490442,69.21859924984165,69.26431487477385,33.0,2.6672153340186924,space,1.0262210839428008,None,69.26436924980953,69.269329165807,72.2562117499765,72.30792537494563,72.31627537496388,73.25848554098047,74.25748137477785,75.75975154084153,76.24772279080935,81.14783004089259,15.0,8.833649541949853,None,72.31627537496388,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_04.jpeg,agree,70.0,4,4,0,92.0,3.1497779588680714,space,4.985283999936655,None,97.0,3.275813875021413,None,0,4,4,3,81.19869495788589,,,,,,,,,81.19202529080212,81.19869495788589,82.14111183281057,83.13904987485148,83.64181933295913,84.13142462493852,88.12721066595986,92.0,3.1497779588680714,space,4.985283999936655,None,88.13006754079834,88.1356406249106,91.118612999795,91.17280633281916,91.17888158280402,92.12321062479168,93.12274145777337,,,94.4584855409339,97.0,3.275813875021413,None,91.17888158280402,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_05.jpeg,disagree,10.0,5,5,0,14.0,2.940595540916547,space,1.1110560011584312,None,16.0,2.5251278751529753,None,0,5,5,4,94.47433383297175,,,,,,,,,94.4679307078477,94.47433383297175,95.44760520779528,96.44785637478344,96.9588584578596,97.44148420798592,97.56709370785393,14.0,2.940595540916547,space,1.1110560011584312,None,97.56951562478207,97.57552649988793,100.56005974998698,100.57356470800005,100.58298599999398,101.55753391585313,102.56466195778921,,,103.10929724993184,16.0,2.5251278751529753,None,100.58298599999398,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_06.jpeg,neutral,50.0,6,6,0,37.0,3.4145351669285446,space,1.8142814999446273,None,41.0,2.4335520840249956,None,0,6,6,5,103.1348024578765,,,,,,,,,103.12788683292456,103.1348024578765,104.09768883278593,105.10640383278951,105.60578466579318,106.09181258291937,106.92344779078849,37.0,3.4145351669285446,space,1.8142814999446273,None,106.92572179087438,106.93089537485503,109.91867283289321,109.94735583290458,109.95647654100321,110.92337308288552,111.91718541597947,,,112.39011220796965,41.0,2.4335520840249956,None,109.95647654100321,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_02.jpeg,disagree,20.0,7,7,0,14.0,2.719384916126728,space,1.0154770009685308,None,11.0,3.141686832997948,None,0,7,7,1,112.41378874983639,,,,,,,,,112.40697395778261,112.41378874983639,113.38153108279221,114.38092833291739,114.88405429082923,115.37490154081024,115.3989297079388,14.0,2.719384916126728,space,1.0154770009685308,None,115.40261716581881,115.4081862908788,118.40459670778364,118.41458362480626,118.42032787483186,119.3976150827948,120.38979062484577,,,121.56562733277678,11.0,3.141686832997948,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_10.jpeg,agree,80.0,8,8,0,97.0,3.974130541086197,space,2.5120083750225604,None,97.0,2.9030421660281718,None,0,8,8,9,121.59165445785038,,,,,,,,,121.5850499579683,121.59165445785038,122.55642724991776,123.55621183291078,124.0557332499884,124.54907445795834,126.07519583287649,97.0,3.974130541086197,space,2.5120083750225604,None,126.07922045793384,126.08481854083948,129.07786099985242,129.1100667079445,129.11860174988396,130.07066424982622,131.07122033298947,,,132.01873749983497,97.0,2.9030421660281718,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_03.jpeg,agree,80.0,9,9,0,92.0,4.1037147080060095,space,3.047552250092849,None,92.0,2.50356208300218,None,0,9,9,2,132.03959266585298,,,,,,,,,132.0331760828849,132.03959266585298,133.01044491585344,134.01326145790517,134.5121212908998,135.00937833287753,137.0627380828373,92.0,4.1037147080060095,space,3.047552250092849,None,137.06281362497248,137.06800791597925,140.05918383295648,140.07842474989593,140.08809887478128,141.05843349988572,142.05715354089625,,,142.59238941594958,92.0,2.50356208300218,None,140.08809887478128,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_01.jpeg,neutral,50.0,10,0,1,76.0,2.699002332985401,space,2.183700666995719,None,70.0,3.755430334014818,None,1,0,10,0,142.63612637482584,,,,,,,,,142.6294030409772,142.63612637482584,143.58883912488818,144.58801229088567,145.08662516600452,145.57688779081218,146.7776729578618,76.0,2.699002332985401,space,2.183700666995719,None,146.78031091578305,146.7858564159833,149.77326470799744,149.8281685828697,149.83610770781524,150.774646082893,151.77470816578716,153.2746104579419,,153.5897441660054,70.0,3.755430334014818,None,149.83610770781524,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_07.jpeg,neutral,65.0,11,1,1,58.0,3.2227769158780575,space,2.3519655000418425,None,21.0,2.476159250130877,None,1,1,11,6,153.61868087481707,,,,,,,,,153.61194766592234,153.61868087481707,154.58340187487192,155.5834845409263,156.0823085408192,156.57257483294234,157.94243291579187,58.0,3.2227769158780575,space,2.3519655000418425,None,157.94510695780627,157.95061258296482,160.94399612490088,160.9785761248786,160.98662466579117,161.93890866590664,162.93679858278483,,,163.460156874964,21.0,2.476159250130877,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_02.jpeg,disagree,20.0,12,2,1,23.0,2.515382417012006,space,0.8818369591608644,None,12.0,2.575934624997899,None,1,2,12,1,163.47838333295658,,,,,,,,,163.47178549994715,163.47838333295658,164.4552755409386,165.4553652498871,165.95224445778877,,166.33862099982798,23.0,2.515382417012006,space,0.8818369591608644,None,166.3411773329135,166.34691424993798,169.33045395789668,169.35107608279213,169.3605832909234,170.3353501658421,171.3354659578763,,,171.93635987490416,12.0,2.575934624997899,None,169.3605832909234,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_04.jpeg,agree,70.0,13,3,1,79.0,3.4586286670528352,space,2.2404841668903828,None,92.0,2.565188125008717,None,1,3,13,3,171.97586733289063,,,,,,,,,171.96811174997129,171.97586733289063,172.93324683280662,173.93158179079182,174.43315879092552,174.93237441591918,176.17565758293495,79.0,3.4586286670528352,space,2.2404841668903828,None,176.17827699985355,176.1839546249248,179.1698710829951,179.2223339579068,179.22979791578837,180.16783912479877,181.16831608279608,,,181.79343279078603,92.0,2.565188125008717,None,179.22979791578837,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_06.jpeg,neutral,50.0,14,4,1,62.0,2.7515300000086427,space,1.6260222499258816,None,43.0,2.40945770801045,None,1,4,14,5,181.81917037488893,,,,,,,,,181.81269795796834,181.81917037488893,182.78666724986397,183.78520604083315,184.28550529084168,184.78470145794563,185.42136008292437,62.0,2.7515300000086427,space,1.6260222499258816,None,185.42391058290377,185.42953079077415,188.41564983292483,188.44904454099014,188.45770966587588,189.41419949987903,190.41793533298187,,,190.86480408278294,43.0,2.40945770801045,None,188.45770966587588,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_10.jpeg,agree,80.0,15,5,1,100.0,2.7384127920959145,space,1.4758577498141676,None,91.0,2.870476708980277,None,1,5,15,9,190.89054870791733,,,,,,,,,190.88391141593456,190.89054870791733,191.85646020784043,192.85612158291042,193.3563662909437,193.84780758293346,194.3419234158937,100.0,2.7384127920959145,space,1.4758577498141676,None,194.34444324998185,194.3499477498699,197.34619387495331,197.37517499993555,197.38446324993856,198.33759595779702,199.3378784158267,,,200.2522516658064,91.0,2.870476708980277,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_05.jpeg,disagree,10.0,16,6,1,7.0,2.6264461670070887,space,0.752155999885872,None,15.0,2.3812154168263078,None,1,6,16,4,200.26704504084773,,,,,,,,,200.26029358291999,200.26704504084773,201.24317512498237,202.24557512486354,202.75128216599114,,203.0057922077831,7.0,2.6264461670070887,space,0.752155999885872,None,203.0082839159295,203.01417458290234,205.99848433281295,206.013187749777,206.02325029089116,207.004439790966,208.00486029079184,,,208.40487391594797,15.0,2.3812154168263078,None,206.02325029089116,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_09.jpeg,disagree,50.0,17,7,1,28.0,7.623275041114539,space,6.210027707973495,None,15.0,2.537435916950926,None,1,7,17,8,208.41810108278878,,,,,,,,,208.41148324985988,208.41810108278878,209.4025979579892,210.40142879099585,210.90145420795307,211.39374541584402,216.61366429086775,28.0,7.623275041114539,space,6.210027707973495,None,216.61634912481532,216.62255799979903,219.61582679091953,219.6263255828526,219.637292874977,220.61000054096803,221.61014004098251,,,222.16913970792666,15.0,2.537435916950926,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_08.jpeg,agree,70.0,18,8,1,33.0,3.5415714159607887,space,1.8217051669489592,None,49.0,2.6840371671132743,None,1,8,18,7,222.1944203749299,,,,,,,,,222.18762479093857,222.1944203749299,223.16852054093033,224.16049083299004,224.6598573748488,225.1613299997989,225.9856401658617,33.0,3.5415714159607887,space,1.8217051669489592,None,225.98811729089357,225.99356020777486,228.97754095797427,229.00739504094236,229.01632237480953,229.98280599992722,230.982920832932,,,231.6979581657797,49.0,2.6840371671132743,None,229.01632237480953,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_03.jpeg,agree,80.0,19,9,1,78.0,2.565659249899909,space,0.7012986671179533,None,82.0,2.495486125117168,None,1,9,19,2,231.7148667499423,,,,,,,,,231.70810708287172,231.7148667499423,232.68933020788245,233.6916977497749,234.19169274996966,,234.39863766590133,78.0,2.565659249899909,space,0.7012986671179533,None,234.4012094999198,234.40645316592418,237.4024027909618,237.4194478748832,237.4292589579709,238.39445158280432,239.39243324985728,,,239.92449770797975,82.0,2.495486125117168,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_07.jpeg,neutral,65.0,20,0,2,42.0,2.874344291863963,space,1.1087810001336038,None,39.0,2.27798741706647,None,2,0,20,6,239.94989154092036,,,,,,,,,239.94365849997848,239.94989154092036,240.91513541596942,241.92198345786892,242.42243604082614,242.9077725408133,243.03397108288482,42.0,2.874344291863963,space,1.1087810001336038,None,243.03645420796238,243.04248929093592,246.02769145788625,246.0595041657798,246.06841087481007,247.02719595795497,248.0290880408138,,,248.34361816593446,39.0,2.27798741706647,None,246.06841087481007,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_06.jpeg,neutral,50.0,21,1,2,42.0,5.168592749862,space,3.3282244170550257,None,43.0,3.0382380408700556,None,2,1,21,5,248.36893637478352,,,,,,,,,248.36201466596685,248.36893637478352,249.33728049998172,250.33629474998452,250.83536045788787,251.3365010828711,253.67259837477468,42.0,5.168592749862,space,3.3282244170550257,None,253.67516254098155,253.68118795799091,256.6647700408939,256.6960165409837,256.70500141591765,257.66722474992275,258.66439529089257,,,259.7396299999673,43.0,3.0382380408700556,None,256.70500141591765,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_09.jpeg,disagree,50.0,22,2,2,10.0,2.460043041035533,space,0.6627143330406398,None,14.0,2.2152030419092625,None,2,2,22,8,259.75422012479976,,,,,,,,,259.74762166594155,259.75422012479976,260.734232791001,261.73059712490067,262.2306465408765,,262.4016767498106,10.0,2.460043041035533,space,0.6627143330406398,None,262.4017360408325,262.40774862491526,265.3942097078543,265.40757016581483,265.4174925829284,266.4001339999959,267.3988247078378,,,267.63210433279164,14.0,2.2152030419092625,None,265.4174925829284,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_01.jpeg,neutral,50.0,23,3,2,29.0,3.448135749902576,space,1.6930352500639856,None,53.0,2.3848135420121253,None,2,3,23,0,267.671119999839,,,,,,,,,267.6642254998442,267.671119999839,268.6265424999874,269.62802133290097,270.12740424997173,270.6183262078557,271.3317401658278,29.0,3.448135749902576,space,1.6930352500639856,None,271.3317929999903,271.33514979085885,274.33204495790415,274.39075558283366,274.3990779579617,275.3259827499278,276.3247008328326,,,276.7812309579458,53.0,2.3848135420121253,None,274.3990779579617,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_04.jpeg,agree,70.0,24,4,2,None,None,space,6.562875167001039,None,81.0,5.389202042017132,None,2,4,24,3,276.82002270780504,,,,,,,,,276.8133576249238,276.82002270780504,277.77748129097745,278.78003391600214,279.2788312078919,279.7677363748662,285.3450818748679,None,None,space,6.562875167001039,None,285.34778124978766,285.35282458295114,288.3391132079996,288.39003341598436,288.3979831249453,289.3350251659285,290.3346578748897,291.84436849993654,292.32680183299817,293.78542341594584,81.0,5.389202042017132,None,288.3979831249453,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_03.jpeg,agree,80.0,25,5,2,96.0,2.4835262910928577,space,1.2536587500944734,None,86.0,2.4534514998085797,None,2,5,25,2,293.8027029999066,,,,,,,,,293.7962523328606,293.8027029999066,294.7786049579736,295.77687058295123,296.2786483329255,296.7763743328396,297.03837899980135,96.0,2.4835262910928577,space,1.2536587500944734,None,297.040956457844,297.046627207892,300.03329062485136,300.0534322077874,300.0630420828238,301.03117541596293,302.0326026249677,,,302.5136883328669,86.0,2.4534514998085797,None,300.0630420828238,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_02.jpeg,disagree,20.0,26,6,2,17.0,2.7004459160380065,space,1.1595665419008583,None,35.0,11.845093792071566,None,2,6,26,1,302.5305373328738,,,,,,,,,302.5244012498297,302.5305373328738,303.5055530408863,304.50574799999595,305.0058348327875,305.4974512499757,305.6672354999464,17.0,2.7004459160380065,space,1.1595665419008583,None,305.66975837480277,305.6751338329632,308.6690220409073,308.68865041597746,308.6987340829801,309.6565384999849,310.6637928748969,312.1553907499183,312.6492225828115,320.5393319998402,35.0,11.845093792071566,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
