poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.00647366710472852,0.006527042016386986,,,,,,,,,,,,,,,,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-50,x,0,0,0,x,1,1.4252299159998074,None,0,0,0,0,,,,,0.01604458410292864,,,,0.011577084078453481,0.01604458410292864,1.006531500024721,1.006531500024721,1.006531500024721,1.006531500024721,1.010542375035584,1.9973838340956718,1.9973838340956718,2.992394042084925,3.610715209040791,x,1,1.4252299159998074,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
150,v,1,1,0,v,1,3.076459666946903,None,0,1,1,1,,,,,3.6166701250476763,,,,3.610897417063825,3.6166701250476763,4.603262000018731,4.603262000018731,4.603262000018731,4.603262000018731,4.609124250011519,5.608070959104225,5.608070959104225,6.604115125024691,8.69808504206594,v,1,3.076459666946903,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
50,c ,2,2,0,c,0,1.4256063749780878,None,0,2,2,2,,,,,8.70647854206618,,,,8.699016417027451,8.70647854206618,9.694789584027603,9.694789584027603,9.694789584027603,9.694789584027603,9.700457375030965,10.689885042025708,10.689885042025708,11.68587337504141,12.12174529209733,c,0,1.4256063749780878,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-150,z,3,3,0,x,0,4.499882334028371,None,0,3,3,3,,,,,12.127317083999515,,,,12.12192170904018,12.127317083999515,13.11880470905453,13.11880470905453,13.11880470905453,13.11880470905453,13.11880470905453,14.116168834036216,14.116168834036216,15.107836667099036,18.618255375069566,x,0,4.499882334028371,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-50,x,4,0,1,x,1,2.176406415994279,None,1,0,4,0,,,,,18.62561666709371,,,,18.618683292064816,18.62561666709371,19.618496625102125,19.618496625102125,19.618496625102125,19.618496625102125,19.618496625102125,20.63004370906856,20.63004370906856,21.622896209009923,22.810719750006683,x,1,2.176406415994279,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
150,v,5,1,1,v,1,1.7150381249375641,None,1,1,5,1,,,,,22.819033375009894,,,,22.81156625004951,22.819033375009894,23.803930875030346,23.803930875030346,23.803930875030346,23.803930875030346,23.809350084047765,24.808316834038123,24.808316834038123,25.80520795902703,26.537403834052384,v,1,1.7150381249375641,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
50,c ,6,2,1,c,0,1.5539133329875767,None,1,2,6,2,,,,,26.545679917093366,,,,26.53819737501908,26.545679917093366,27.536527167074382,27.536527167074382,27.536527167074382,27.536527167074382,27.54284158407245,28.530707625090145,28.530707625090145,29.52713991701603,30.09418433404062,c,0,1.5539133329875767,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-150,z,7,3,1,z,1,0.8114661249564961,None,1,3,7,3,,,,,30.10146641707979,,,,30.09468762506731,30.10146641707979,31.08475783409085,31.08475783409085,31.08475783409085,31.08475783409085,31.08886750007514,32.093713125097565,32.093713125097565,,32.906396500067785,z,1,0.8114661249564961,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-50,x,8,0,2,x,1,0.7434049589792266,None,2,0,8,0,,,,,32.91657145903446,,,,32.90680587501265,32.91657145903446,33.90212883404456,33.90212883404456,33.90212883404456,33.90212883404456,33.90689983405173,34.902720542042516,34.902720542042516,,35.65185208409093,x,1,0.7434049589792266,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
150,v,9,1,2,v,1,0.8716301249805838,None,2,1,9,1,,,,,35.659519459004514,,,,35.652676875004545,35.659519459004514,36.643481542007066,36.643481542007066,36.643481542007066,36.643481542007066,36.64761933404952,37.65045654203277,37.65045654203277,,38.530763084068894,v,1,0.8716301249805838,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
50,c ,10,2,2,c,0,0.8473447499563918,None,2,2,10,2,,,,,38.53855400008615,,,,38.53119020909071,38.53855400008615,39.52411724999547,39.52411724999547,39.52411724999547,39.52411724999547,39.536202209070325,40.526783084031194,40.526783084031194,,41.37843700009398,c,0,0.8473447499563918,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-150,z,11,3,2,z,1,0.807259124936536,None,2,3,11,3,,,,,41.38551937509328,,,,41.378812959068455,41.38551937509328,42.374690250027925,42.374690250027925,42.374690250027925,42.374690250027925,42.374690250027925,43.3757705000462,43.3757705000462,,44.19529791700188,z,1,0.807259124936536,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
-50,x,12,0,3,x,1,0.5650368330534548,None,3,0,12,0,,,,,44.20582550007384,,,,44.19585950009059,44.20582550007384,45.19252675003372,45.19252675003372,45.19252675003372,45.19252675003372,45.198002834105864,46.18788220908027,46.18788220908027,,46.763173084007576,x,1,0.5650368330534548,None,,,,,,,005,001,2025-10-02_17h40.39.549,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h40.46.321746 +0530,
