poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,probe.stopped,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.006826750002801418,0.006887583062052727,,,,,,,,,,,,,,,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-50,x,0,0,0,x,1,0.918647334096022,None,0,0,0,0,,,,,0.01643545797560364,,,,0.012427708017639816,0.01643545797560364,1.0159936250420287,1.0159936250420287,1.0159936250420287,1.0159936250420287,1.02046158304438,1.9948505830252543,1.9948505830252543,3.089116791030392,x,1,0.918647334096022,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
150,v,1,1,0,v,1,0.4140790419187397,None,0,1,1,1,,,,,3.0968705830164254,,,,3.0893485830165446,3.0968705830164254,4.087313208030537,4.087313208030537,4.087313208030537,4.087313208030537,4.087313208030537,5.0794336249819025,5.0794336249819025,5.501565583050251,v,1,0.4140790419187397,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
50,c ,2,2,0,c,0,2.5399086670950055,None,0,2,2,2,,,,,5.509025000035763,,,,5.5019228750607,5.509025000035763,6.50068995798938,6.50068995798938,6.50068995798938,6.50068995798938,6.50068995798938,7.499421708052978,7.499421708052978,10.042467207997106,c,0,2.5399086670950055,None,8.490218457998708,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-150,z,3,3,0,z,1,2.1355331250233576,None,0,3,3,3,,,,,10.049885333050042,,,,10.042877666070126,10.049885333050042,11.042282707989216,11.042282707989216,11.042282707989216,11.042282707989216,11.047474958002567,12.042339500039816,12.042339500039816,14.187459625070915,z,1,2.1355331250233576,None,13.032548499992117,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-50,x,4,0,1,x,1,0.4872220839606598,None,1,0,4,0,,,,,14.198006541002542,,,,14.188393041025847,14.198006541002542,15.180137500050478,15.180137500050478,15.180137500050478,15.180137500050478,15.19901770807337,16.18452620797325,16.18452620797325,16.677232249989174,x,1,0.4872220839606598,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
150,v,5,1,1,v,1,0.7276352089829743,None,1,1,5,1,,,,,16.685495208017528,,,,16.677832333021797,16.685495208017528,17.675503708072938,17.675503708072938,17.675503708072938,17.675503708072938,17.680709916050546,18.674971250002272,18.674971250002272,19.412757833022624,v,1,0.7276352089829743,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
50,c ,6,2,1,c,0,0.7238756669685245,None,1,2,6,2,,,,,19.42177554103546,,,,19.413600165979005,19.42177554103546,20.40887837507762,20.40887837507762,20.40887837507762,20.40887837507762,20.413228125078604,21.404779375065118,21.404779375065118,22.13637425005436,c,0,0.7238756669685245,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-150,z,7,3,1,z,1,0.6449244590476155,None,1,3,7,3,,,,,22.145185915986076,,,,22.137188625056297,22.145185915986076,23.126604082994163,23.126604082994163,23.126604082994163,23.126604082994163,23.144360583042726,24.129623500048183,24.129623500048183,24.784432083019055,z,1,0.6449244590476155,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-50,x,8,0,2,x,1,0.46719970798585564,None,2,0,8,0,,,,,24.79161291604396,,,,24.78500420798082,24.79161291604396,25.77197916607838,25.77197916607838,25.77197916607838,25.77197916607838,25.7898700410733,26.780344999977387,26.780344999977387,27.260738041019067,x,1,0.46719970798585564,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
150,v,9,1,2,c,0,0.3270944590913132,None,2,1,9,1,,,,,27.269070125068538,,,,27.261483583017252,27.269070125068538,28.260513290995732,28.260513290995732,28.260513290995732,28.260513290995732,28.260513290995732,29.258297250024043,29.258297250024043,29.58987424999941,c,0,0.3270944590913132,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
50,c ,10,2,2,c,0,0.5972790420055389,None,2,2,10,2,,,,,29.596662916010246,,,,29.590382165974006,29.596662916010246,30.588459125021473,30.588459125021473,30.588459125021473,30.588459125021473,30.588459125021473,31.582069333060645,31.582069333060645,32.19318558298983,c,0,0.5972790420055389,None,,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
-150,z,11,3,2,z,1,1.1866969999391586,None,2,3,11,3,,,,,32.20058304106351,,,,32.19354054098949,32.20058304106351,33.184549874975346,33.184549874975346,33.184549874975346,33.184549874975346,33.18975345802028,34.19058216607664,34.19058216607664,35.38642345799599,z,1,1.1866969999391586,None,35.19004516606219,,,,,,,003,001,2025-10-02_17h06.02.506,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h06.17.467493 +0530,
