study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
phone,0,0,0,1.5213849287169043,3.588575374975335,,,,,,,,,,,,0,0,0,2,,,,,0.027845707954838872,,0.014239832991734147,0.027845707954838872,0.027845707954838872,3.6087312909658067,1.5213849287169043,3.588575374975335,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
marble,1,1,0,1.8309572301425663,1.2808495000354014,,,,,,,,,,,,0,1,1,3,,,,,3.6170766659779474,,3.6117617079871707,3.6170766659779474,3.6170766659779474,4.903164749965072,1.8309572301425663,1.2808495000354014,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
T-shirt,2,2,0,2.327902240325866,3.1111340830102563,,,,,,,,,,,,0,2,2,7,,,,,4.912310207961127,,4.906386165996082,4.912310207961127,4.912310207961127,8.028217915969435,2.327902240325866,3.1111340830102563,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
Key,3,3,0,1.2729124236252545,1.0297145000076853,,,,,,,,,,,,0,3,3,13,,,,,8.042224165983498,,8.031148540962022,8.042224165983498,8.042224165983498,9.066828165960032,1.2729124236252545,1.0297145000076853,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
board,4,4,0,1.5458248472505092,1.4255813750205562,,,,,,,,,,,,0,4,4,4,,,,,9.07475137495203,,9.06921920797322,9.07475137495203,9.07475137495203,10.500640999991447,1.5458248472505092,1.4255813750205562,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
Police,5,5,0,1.9490835030549898,1.9564928339677863,,,,,,,,,,,,0,5,5,12,,,,,10.508620082982816,,10.502878499974031,10.508620082982816,10.508620082982816,12.470288290991448,1.9490835030549898,1.9564928339677863,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
cushion,6,6,0,2.315682281059063,0.9106462920317426,,,,,,,,,,,,0,6,6,1,,,,,12.477825624984689,,12.472266290977132,12.477825624984689,12.477825624984689,13.38862604094902,2.315682281059063,0.9106462920317426,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
Laptop,7,7,0,2.4623217922606924,0.8796444999752566,,,,,,,,,,,,0,7,7,5,,,,,13.396725124970544,,13.391092999954708,13.396725124970544,13.396725124970544,14.275605707953218,2.4623217922606924,0.8796444999752566,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
book,8,8,0,1.1873727087576376,1.367945250007324,,,,,,,,,,,,0,8,8,0,,,,,14.283282666001469,,14.277388124959543,14.283282666001469,14.283282666001469,15.650986665976234,1.1873727087576376,1.367945250007324,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
Poster,9,9,0,2.6822810590631363,1.200933999964036,,,,,,,,,,,,0,9,9,14,,,,,15.658432374999393,,15.653077999944799,15.658432374999393,15.658432374999393,16.858938040968496,2.6822810590631363,1.200933999964036,,,,,,,,,,,,,,,,002,001,2025-10-15_16h00.12.779,Tutorial 5,,2025.1.1,None,2025-10-15 16h00.24.765689 +0530,
