stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
52,0.5,2.0,63.640108749998035,,63.63187966599071,63.640108749998035,64.12805333299912,64.12805333299912,64.13189895800315,64.42869408299157,65.07258341599663,right,2.0,1,1,0.9377465419966029,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
53,0.5,2.0,65.08183770799951,,65.07313187500404,65.08183770799951,65.56493774999399,65.56493774999399,65.57891883299453,65.86149300000397,66.48083874999429,right,2.0,0,0,0.9108361669932492,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
54,0.5,2.5,66.48997758299811,,66.48151037500065,66.48997758299811,66.97840274999908,66.97840274999908,66.98629349999828,67.26596445799805,67.66587766600423,left,-2.5,1,1,0.6852415000030305,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
55,0.5,2.5,67.6762543329969,,67.66632562500308,67.6762543329969,68.16990549999173,68.16990549999173,68.16990549999173,68.47007033300179,68.97567112499382,left,-2.5,1,1,0.8015992509899661,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
56,0.5,2.5,68.9850197499909,,68.9761290000024,68.9850197499909,69.46963491599308,69.46963491599308,69.4729898749938,69.76979691599263,70.18915962499159,right,2.5,1,1,0.7130305419996148,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
57,0.5,2.0,70.19839708300424,,70.18966725000064,70.19839708300424,70.68469708299381,70.68469708299381,70.68886300000304,70.98650529100269,71.2802885830024,left,-2.0,1,1,0.5869247500086203,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
58,0.5,2.0,71.2900896659994,,71.28076745799626,71.2900896659994,71.77504029100237,71.77504029100237,71.78671391599346,72.0699972500006,72.43885387499176,left,-2.0,1,1,0.6535345830052393,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
59,0.5,2.0,72.4488059580035,,72.43931412500388,72.4488059580035,72.9364268329955,72.9364268329955,72.940072915997,73.23665345799236,73.56615975000022,right,2.0,1,1,0.6270714169950224,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
60,0.5,1.5,73.57499245800136,,73.56663362499967,73.57499245800136,74.05944674999046,74.05944674999046,74.0640936659911,74.36164620799536,74.63952583300124,left,-1.5,1,1,0.5761427089892095,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
61,0.5,1.5,74.64476049999939,,74.64016808300221,74.64476049999939,75.13678074999189,75.13678074999189,75.14491670799907,75.42360245800228,75.62219595799979,left,-1.5,0,0,0.47562233300413936,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
62,0.5,2.0,75.63069725000241,,75.62272745800146,75.63069725000241,76.11746008299815,76.11746008299815,76.12254308299453,76.41992958300398,76.83896858300432,right,2.0,1,1,0.7170592509937705,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
63,0.5,2.0,76.84836216599797,,76.83949899999425,76.84836216599797,77.33618429099442,77.33618429099442,77.33989837499394,77.62256979099766,78.13880120799877,right,2.0,1,1,0.7902636670041829,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
64,0.5,2.0,78.14723937500094,,78.1392055000033,78.14723937500094,78.63442887499696,78.63442887499696,78.63915879100387,78.93641999999818,79.25570366600004,left,-2.0,1,1,0.6120098340034019,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
65,0.5,1.5,79.26529366600153,,79.25623454099696,79.26529366600153,79.7531089999975,79.7531089999975,79.75733366599889,80.05307475000154,81.44833237500279,left,-1.5,0,0,1.6863131669961149,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
66,0.5,2.0,81.45935433299746,,81.44896404100291,81.45935433299746,81.94133349999902,81.94133349999902,81.96134587499546,82.23644720799348,82.68146066599002,right,2.0,1,1,0.7310460839944426,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
67,0.5,2.0,82.6924902079918,,82.68205970799318,82.6924902079918,83.17489475000184,83.17489475000184,83.18674133300374,83.46974995799246,84.31479045799642,right,2.0,1,1,1.1324424170015845,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
68,0.5,2.0,84.32317262499419,,84.31540712500282,84.32317262499419,84.8094172909914,84.8094172909914,84.81467912500375,85.11139383299451,85.6069128329982,right,2.0,1,1,0.7828236670029582,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
69,0.5,1.5,85.61797183299495,,85.60756729099376,85.61797183299495,86.10311899999215,86.10311899999215,86.10693749999336,86.40321533300448,87.19675354099309,left,-1.5,0,0,1.0831072090077214,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
70,0.5,2.0,87.20692970800155,,87.19723570799397,87.20692970800155,87.69459800000186,87.69459800000186,87.69814716599649,87.99475429099402,88.29809037499945,left,-2.0,1,1,0.5986216669989517,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
71,0.5,2.0,88.30652091599768,,88.29862437499105,88.30652091599768,88.79281408300449,88.79281408300449,88.79760883300332,89.09478745800152,89.51426083299157,left,-2.0,1,1,0.711394833997474,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
72,0.5,2.0,89.52354650000052,,89.51477237499785,89.52354650000052,90.01131333300145,90.01131333300145,90.01517137499468,90.31171095799073,90.61320849999902,right,2.0,1,1,0.5948017080081627,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
73,0.5,1.5,90.62167500000214,,90.61370274999354,90.62167500000214,91.10582558299939,91.10582558299939,91.11992499999178,91.40306237500045,91.62983504099248,right,1.5,1,1,0.5153109169914387,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
74,0.5,1.5,91.63576262499555,,91.63030358299147,91.63576262499555,92.12577162499656,92.12577162499656,92.12577162499656,92.42007924999052,92.62330549999024,right,1.5,1,1,0.49433029200008605,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
75,0.5,1.5,92.63165524999204,,92.62377729099535,92.63165524999204,93.11967674999323,93.11967674999323,93.12332033299026,93.4198958749912,93.53850508299365,left,-1.5,0,0,0.41336920799221843,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
76,0.5,2.0,93.54848604099243,,93.53902466599538,93.54848604099243,94.03653591599141,94.03653591599141,94.03995829100313,94.33642712500296,94.63073824999447,right,2.0,1,1,0.5805173749977257,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
77,0.5,2.0,94.6396378329955,,94.63122437499987,94.6396378329955,95.12427704100264,95.12427704100264,95.13687262499298,95.4203967909998,95.79699541599257,left,-2.0,1,1,0.6627643760002684,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
78,0.5,2.0,95.8062873329909,,95.7974697079917,95.8062873329909,96.29205062499386,96.29205062499386,96.29852858299273,96.59486983300303,96.73993362499459,left,-2.0,0,0,0.4389809999993304,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
79,0.5,2.5,96.75061312499747,,96.74054149999574,96.75061312499747,97.23650629099575,97.23650629099575,97.2449716659903,97.52457233300083,97.83906870799547,left,-2.5,1,1,0.5944276670052204,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
80,0.5,2.5,97.84830229099316,,97.83954629099753,97.84830229099316,98.33630825,98.33630825,98.34001029099454,98.63659279099375,98.93985091599461,right,2.5,1,1,0.5896019580104621,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
81,0.5,2.5,98.94724808300089,,98.94036320799205,98.94724808300089,99.43625833299302,99.43625833299302,99.43978970799071,99.73639612499392,100.08859191599186,left,-2.5,1,1,0.6467132090037921,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
